name,price,unit_price,description,availability,regular_price,discounted_price,discount_percent,discount_type,discount_period,category,market,last_updated
ЛАЈБИЦИ СЛИБО,23,100 гр = 9.2,ЛАЈБИЦИ ДИЕТ,Да,23,,,,,Останато,KAM,2025-04-18
БОНБОНИ ЕВРОПА,24,100 гр = 24.0,EVROPA БОНБОНИ,Да,24,,,,,Слатки и бонбони,KAM,2025-04-18
ТОРТ. ДОРА,87,100 гр = 31.1,MIDI ТОРТИЦИ СО,Да,87,,,,,Слатки и бонбони,KAM,2025-04-18
ТОРТ. ДОРА КАСАЛ,125,100 гр = 35.7,MIDI ТОРТИЧКИ СО,Да,125,,,,,Слатки и бонбони,KAM,2025-04-18
ЛЕБ ТОНУС 450 Г,75,100 гр = 16.7,TONUS ЛЕБ ОД,Да,75,,,,,Хлеб и пекарски производи,KAM,2025-04-18
ЛЕБ ТОНУС БЕЗ,82,100 гр = 18.2,TONUS ЛЕБ БЕЗ,Да,82,,,,,Хлеб и пекарски производи,KAM,2025-04-18
ЛЕБ ПЕЧЕНКАРЕН,50,100 гр = 10.0,DEMETRA ЛЕБ,Да,50,,,,,Хлеб и пекарски производи,KAM,2025-04-18
ЖЕЛЕ 200 ГР,46,100 гр = 23.0,MILORD ЖЕЛЕ,Да,46,,,,,Слатки и бонбони,KAM,2025-04-18
КИФЛИЧКИ,61,100 гр = 17.4,КИФЛИЧКИ,Да,61,,,,,Хлеб и пекарски производи,KAM,2025-04-18
ЧОКОЛ.ЈУСМБ СО,58,100 гр = 38.7,MONY КАКАО ТАБЛА,Да,58,,,,,Слатки и бонбони,KAM,2025-04-18
ЖИТАРКИ СО 40%,50,100 гр = 28.6,OHO ЖИТАРКИ,Да,50,,,,,Житарки и мусли,KAM,2025-04-18
ЖИТАРКИ ПРСТЕНИ,50,100 гр = 28.6,OHO ЖИТАРКИ,Да,50,,,,,Житарки и мусли,KAM,2025-04-18
ЖИТАРКИ СО,40,100 гр = 26.7,OHO ЖИТАРКИ,Да,40,,,,,Житарки и мусли,KAM,2025-04-18
ЧОКОЛАДО,77,100 гр = 87.5,MILKINIS- MILKA,Да,77,,,,,Слатки и бонбони,KAM,2025-04-18
КРЕМ БАНАНА,53,100 гр = 29.4,ALPIKO ЧОКО,Да,53,,,,,Слатки и бонбони,KAM,2025-04-18
ФИДЕ ГУСТО 400,24,100 гр = 6.0,GUSTO ФИДЕ,Да,24,,,,,Тестенини,KAM,2025-04-18
ЛЕБ БЕЛ 500Г,27,100 гр = 5.4,DEMETRA ЛЕБ БЕЛ,Да,27,,,,,Хлеб и пекарски производи,KAM,2025-04-18
БОНБОНИ ГУМЕНИ,119,100 гр = 39.7,HARIBO БОНБОНИ,Да,119,,,,,Слатки и бонбони,KAM,2025-04-18
ЧОК.ЗА ГОТВЕЊЕ,22,100 гр = 22.0,LEONA КРЕМ ТАБЛА,Да,22,,,,,Останато,KAM,2025-04-18
